Nom du film,Annee,Score,Duree,Acteur,Genre,Description
The Shawshank Redemption,,9.3,2,Stars,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
City Lights,,8.5,1,Stars,Comedy,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
Once Upon a Time in the West,,8.5,2,Writers,Western,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
Memento,,8.4,1,Stars,Mystery,A man with short-term memory loss attempts to track down his wife's murderer.
Cinema Paradiso,,8.5,2,Stars,Drama,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
Alien,,8.5,1,Stars,Horror,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.
Apocalypse Now,,8.5,2,Writers,Drama,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
Rear Window,,8.5,1,Stars,Mystery,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
Modern Times,,8.5,1,Stars,Comedy,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
Grave of the Fireflies,,8.5,1,Stars,Animation,A young boy and his little sister struggle to survive in Japan during World War II.
The Intouchables,,8.5,1,Stars,Biography,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
The Prestige,,8.5,2,Stars,Drama,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
Gandhi,,8.1,3,Stars,Biography,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
Harakiri,,8.6,2,Stars,Action,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
Whiplash,,8.5,1,Stars,Drama,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
Casablanca,,8.5,1,Writers,Drama,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
The Usual Suspects,,8.5,1,Stars,Crime,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
The Help,,8.1,2,Stars,Drama,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
The Iron Giant,,8.1,1,Writers,Animation,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
Aladdin,,8.0,1,Writers,Animation,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
The Sound of Music,,8.1,2,Writers,Biography,A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
Persona,,8.1,1,Stars,Drama,A nurse is put in charge of a mute actress and finds that their personae are melding together.
Life of Brian,,8.0,1,Writers,Comedy,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."
Everything Everywhere All at Once,,8.1,2,Stars,Action,"An aging Chinese immigrant is swept up in an insane adventure, in which she alone can save the world by exploring other universes connecting with the lives she could have led."
It Happened One Night,,8.1,1,Stars,Comedy,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops."
The 400 Blows,,8.1,1,Stars,Crime,"A young boy, left without attention, delves into a life of petty crime."
The Handmaiden,,8.1,2,Stars,Drama,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
Dersu Uzala,,8.2,2,Stars,Adventure,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.
My Father and My Son,,8.2,1,Stars,Drama,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
Jai Bhim,,8.8,2,Stars,Crime,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
Amores Perros,,8.1,2,Stars,Drama,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
Cool Hand Luke,,8.1,2,Stars,Crime,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."
The Grapes of Wrath,,8.1,2,Stars,Drama,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression."
Rebecca,,8.1,2,Writers,Drama,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
Pirates of the Caribbean: The Curse of the Black Pearl,,8.1,2,Writers,Action,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
La haine,,8.1,1,Stars,Crime,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
The Battle of Algiers,,8.1,2,Stars,Drama,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
Hachi: A Dog's Tale,,8.1,1,Stars,Biography,A college professor bonds with an abandoned dog he takes into his home.
To Be or Not to Be,,8.2,1,Stars,Comedy,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
The Incredibles,,8.0,1,Stars,Animation,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
The Exorcist,,8.1,2,Stars,Horror,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter."
Groundhog Day,,8.1,1,Stars,Comedy,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right."
Before Sunset,,8.1,1,Writers,Drama,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
The Best Years of Our Lives,,8.1,2,Stars,Drama,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
The Wizard of Oz,,8.1,1,Directors,Adventure,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
Into the Wild,,8.1,2,Stars,Adventure,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
Pather Panchali,,8.3,2,Stars,Drama,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work."
Rush,,8.1,2,Stars,Action,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
Ratatouille,,8.1,1,Writers,Animation,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
Logan,,8.1,2,Writers,Action,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
Stand by Me,,8.1,1,Stars,Adventure,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy."
Network,,8.1,2,Stars,Drama,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control."
Spotlight,,8.1,2,Stars,Biography,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
